===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
113  0.339473  0.278132  0.390562  0.329901  0.009054     0.166667  0.217391  0.000000  0.967742       0.50
114  0.338217  0.284501  0.406124  0.334020  0.009332     0.166667  0.173913  0.000000  0.967742       0.50
115  0.347007  0.296178  0.411145  0.332784  0.011596     0.166667  0.130435  0.000000  0.967742       0.50
116  0.355379  0.297594  0.414659  0.341433  0.011136     0.166667  0.086957  0.000000  0.967742       0.50
117  0.360402  0.307502  0.420683  0.349671  0.010567     0.166667  0.043478  0.000000  0.967742       0.50
118  0.300126  0.299363  0.367470  0.354613  0.010143     0.166667  0.000000  0.000000  0.967742       0.50
119  0.340310  0.280255  0.395080  0.322488  0.008594     0.833333  1.000000  0.000000  0.870968       0.50
120  0.350774  0.287332  0.400100  0.334843  0.022053     0.833333  0.956522  0.000000  0.870968       0.50
121  0.342403  0.294409  0.405120  0.344728  0.021993     0.833333  0.913043  0.000000  0.870968       0.50
122  0.321892  0.289101  0.390562  0.337315  0.022997     0.833333  0.869565  0.000000  0.870968       0.50
123  0.325241  0.267162  0.358936  0.316722  0.030804     0.833333  0.826087  0.000000  0.870968       0.50
124  0.323985  0.302548  0.390562  0.320016  0.032753     0.833333  0.782609  0.000000  0.870968       0.50
125  0.342821  0.314225  0.364960  0.319193  0.043986     0.833333  0.739130  0.000000  0.870968       0.50
126  0.393051  0.327672  0.409137  0.336491  0.041492     0.833333  0.695652  0.000000  0.870968       0.50
127  0.368355  0.323071  0.429719  0.386738  0.031773     0.833333  0.652174  0.000000  0.870968       0.50
128  0.393889  0.342887  0.427209  0.362438  0.021327     0.833333  0.608696  0.000000  0.870968       0.50
129  0.310172  0.331210  0.379518  0.387562  0.023143     0.833333  0.565217  0.000000  0.870968       0.50
130  0.303056  0.262562  0.344378  0.305189  0.017042     0.833333  0.521739  0.000000  0.870968       0.50
131  0.283801  0.250885  0.331325  0.298188  0.018955     0.833333  0.478261  0.000000  0.870968       0.50
132  0.323566  0.277778  0.338855  0.279242  0.025951     0.833333  0.434783  0.000000  0.870968       0.50
133  0.282964  0.274947  0.311245  0.318369  0.025745     0.833333  0.391304  0.000000  0.870968       0.50
134  0.270825  0.231069  0.323795  0.278418  0.011910     0.833333  0.347826  0.000000  0.870968       0.50
135  0.270406  0.227176  0.323293  0.266474  0.011922     0.833333  0.304348  0.000000  0.870968       0.50
136  0.285057  0.234253  0.325803  0.266063  0.009393     0.833333  0.260870  0.000000  0.870968       0.50
137  0.271662  0.232838  0.319779  0.280478  0.010010     0.833333  0.217391  0.000000  0.870968       0.50
